time,price
0,2000
1,2030
2,2010
3,1980
4,2000
5,1990
6,2000
7,2030
8,2010
9,2050
10,2030
11,2070
12,2070
13,2110
14,2110
15,2090
16,2130
17,2130
18,2150
19,2130
20,2170
21,2150
22,2120
23,2140
24,2150
25,2180
26,2140
27,2170
28,2150
29,2120
30,2160
31,2170
32,2180
33,2170
34,2180
35,2200
36,2210
37,2220
38,2190
39,2170
40,2180
41,2150
42,2160
43,2150
44,2160
45,2200
46,2190
47,2170
48,2130
49,2090
50,2110
51,2110
52,2120
53,2130
54,2160
55,2200
56,2200
57,2200
58,2190
59,2190
60,2170
61,2140
62,2100
63,2100
64,2080
65,2090
66,2110
67,2150
68,2120
69,2130
70,2170
71,2150
72,2150
73,2170
74,2190
75,2180
76,2210
77,2190
78,2180
79,2220
80,2190
81,2150
82,2150
83,2130
84,2110
85,2130
86,2090
87,2060
88,2080
89,2060
90,2040
91,2050
92,2020
93,1990
94,2000
95,1980
96,2010
97,2030
98,2010
99,2020
100,2020
